ProgramType,NumberPhysicians,Revenue,MedefenseLimit,CyberLimit,MedefenseLimit_Cat,CyberLimit_Cat,BothCoverages,CYBExposure,CYBClaimCount,CYBClaimCost,MEDExposure,MEDClaimCount,MEDClaimCost
open,0,0,0,5000000,0,14_5000k,0,1,0,0,0,0,0
open,1,300000,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,3,2600000,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,2,1425946,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,2,480000,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,2,601342,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,2,525000,1000000,0,07_1000k,0,0,0,0,0,1,0,0
open,1,600000,250000,0,05_250k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,9,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,1000000,07_1000k,09_1000k,1,1,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
prog,1,0,1000000,0,07_1000k,0,0,0,0,0,1,0,0
